timestamp,focus,fatigue,heart_rate,spo2
2026-01-12T15:16:08,0.5097,0.2693,74,98
2026-01-12T15:16:09,0.5168,0.2816,74,97
2026-01-12T15:16:10,0.4776,0.2999,75,96
2026-01-12T15:16:11,0.4805,0.3064,74,96
2026-01-12T15:16:12,0.4574,0.3172,72,96
2026-01-12T15:16:13,0.4273,0.3232,74,96
2026-01-12T15:16:14,0.4017,0.3493,73,97
2026-01-12T15:16:15,0.3887,0.3781,75,96
2026-01-12T15:16:16,0.3961,0.3918,73,95
2026-01-12T15:16:17,0.3800,0.3981,71,95
2026-01-12T15:16:18,0.3433,0.4032,74,96
2026-01-12T15:16:19,0.3055,0.4104,72,95
2026-01-12T15:16:20,0.2800,0.4148,71,94
2026-01-12T15:16:21,0.2964,0.4214,72,94
2026-01-12T15:16:22,0.3157,0.4411,70,95
2026-01-12T15:16:23,0.3018,0.4480,69,96
