timestamp,focus,fatigue,heart_rate,spo2
2026-01-12T16:56:25,0.3944,0.2572,71,97
2026-01-12T16:56:26,0.4082,0.2818,74,98
2026-01-12T16:56:27,0.4136,0.2880,75,99
2026-01-12T16:56:28,0.4298,0.2938,77,100
2026-01-12T16:56:29,0.4102,0.3219,78,100
2026-01-12T16:56:30,0.4278,0.3442,76,100
2026-01-12T16:56:31,0.4382,0.3463,76,100
2026-01-12T16:56:32,0.4150,0.3749,76,100
2026-01-12T16:56:33,0.3764,0.3975,77,100
2026-01-12T16:56:34,0.3819,0.4182,77,100
2026-01-12T16:56:35,0.3823,0.4353,75,100
2026-01-12T16:56:36,0.3962,0.4569,73,99
2026-01-12T16:56:37,0.3615,0.4601,73,100
2026-01-12T16:56:38,0.3343,0.4829,72,99
2026-01-12T16:56:39,0.3204,0.4849,71,98
2026-01-12T16:56:40,0.3108,0.5065,73,99
2026-01-12T16:56:41,0.3088,0.5121,74,98
2026-01-12T16:56:42,0.2804,0.5211,77,97
2026-01-12T16:56:43,0.2666,0.5409,79,97
2026-01-12T16:56:44,0.2546,0.5450,80,96
2026-01-12T16:56:45,0.2195,0.5495,83,97
2026-01-12T16:56:46,0.2028,0.5731,83,97
2026-01-12T16:56:47,0.1965,0.6017,82,96
2026-01-12T16:56:48,0.2076,0.6193,83,96
2026-01-12T16:56:49,0.2208,0.6479,83,97
2026-01-12T16:56:50,0.2070,0.6618,82,96
2026-01-12T16:56:51,0.1875,0.6841,83,95
2026-01-12T16:56:52,0.1738,0.7115,82,96
2026-01-12T16:56:53,0.1379,0.7150,80,97
2026-01-12T16:56:54,0.1503,0.7177,81,97
2026-01-12T16:56:55,0.1535,0.7325,83,97
2026-01-12T16:56:56,0.1367,0.7569,81,96
2026-01-12T16:56:57,0.1107,0.7791,80,95
2026-01-12T16:56:58,0.1234,0.7969,79,94
2026-01-12T16:56:59,0.1169,0.8133,81,94
2026-01-12T16:57:00,0.1060,0.8153,83,95
2026-01-12T16:57:01,0.0832,0.8375,84,95
2026-01-12T16:57:02,0.0759,0.8617,87,96
2026-01-12T16:57:03,0.0703,0.8830,86,96
2026-01-12T16:57:04,0.0517,0.9085,89,96
2026-01-12T16:57:05,0.0644,0.9133,90,95
2026-01-12T16:57:06,0.0401,0.9376,91,96
2026-01-12T16:57:07,0.0370,0.9524,91,95
2026-01-12T16:57:08,0.0363,0.9692,90,95
2026-01-12T16:57:09,0.0112,0.9942,92,96
2026-01-12T16:57:10,0.0000,0.9947,90,97
2026-01-12T16:57:11,0.0019,1.0000,88,97
2026-01-12T16:57:12,0.0000,1.0000,86,96
2026-01-12T16:57:13,0.0069,1.0000,88,96
2026-01-12T16:57:14,0.0267,1.0000,89,96
2026-01-12T16:57:15,0.0104,1.0000,91,95
2026-01-12T16:57:16,0.0000,1.0000,91,96
2026-01-12T16:57:17,0.0000,1.0000,90,96
2026-01-12T16:57:18,0.0000,1.0000,88,97
2026-01-12T16:57:19,0.0000,1.0000,91,98
2026-01-12T16:57:20,0.0000,1.0000,89,97
2026-01-12T16:57:21,0.0101,1.0000,91,97
2026-01-12T16:57:22,0.0000,1.0000,90,96
2026-01-12T16:57:23,0.0136,1.0000,90,97
2026-01-12T16:57:24,0.0000,1.0000,89,97
2026-01-12T16:57:25,0.0196,1.0000,88,98
2026-01-12T16:57:26,0.0292,1.0000,88,97
2026-01-12T16:57:27,0.0160,1.0000,90,97
2026-01-12T16:57:28,0.0326,1.0000,89,96
2026-01-12T16:57:29,0.0000,1.0000,89,95
2026-01-12T16:57:30,0.0000,1.0000,92,94
2026-01-12T16:57:31,0.0000,1.0000,90,94
2026-01-12T16:57:32,0.0027,1.0000,92,95
2026-01-12T16:57:33,0.0000,1.0000,95,96
2026-01-12T16:57:34,0.0000,1.0000,93,95
2026-01-12T16:57:35,0.0001,1.0000,92,96
2026-01-12T16:57:36,0.0000,1.0000,93,97
2026-01-12T16:57:37,0.0000,1.0000,91,98
2026-01-12T16:57:38,0.0000,1.0000,92,98
2026-01-12T16:57:39,0.0000,1.0000,94,99
2026-01-12T16:57:40,0.0161,1.0000,92,99
2026-01-12T16:57:41,0.0007,1.0000,94,98
2026-01-12T16:57:42,0.0125,1.0000,93,97
2026-01-12T16:57:43,0.0094,1.0000,91,96
2026-01-12T16:57:44,0.0000,1.0000,89,97
2026-01-12T16:57:45,0.0000,1.0000,88,97
2026-01-12T16:57:46,0.0000,1.0000,88,97
2026-01-12T16:57:47,0.0000,1.0000,87,97
2026-01-12T16:57:48,0.0000,1.0000,90,98
2026-01-12T16:57:49,0.0000,1.0000,90,97
2026-01-12T16:57:50,0.0000,1.0000,88,97
2026-01-12T16:57:51,0.0000,1.0000,87,96
2026-01-12T16:57:52,0.0000,1.0000,90,96
2026-01-12T16:57:53,0.0000,1.0000,91,96
2026-01-12T16:57:54,0.0000,1.0000,91,96
2026-01-12T16:57:55,0.0000,1.0000,91,96
2026-01-12T16:57:56,0.0000,1.0000,90,96
2026-01-12T16:57:57,0.0000,1.0000,90,95
2026-01-12T16:57:58,0.0000,1.0000,90,95
2026-01-12T16:57:59,0.0000,1.0000,93,94
2026-01-12T16:58:00,0.0164,1.0000,95,95
2026-01-12T16:58:01,0.0153,1.0000,98,94
2026-01-12T16:58:02,0.0000,1.0000,99,94
2026-01-12T16:58:03,0.0000,1.0000,100,94
2026-01-12T16:58:04,0.0000,1.0000,102,94
2026-01-12T16:58:05,0.0168,1.0000,101,94
2026-01-12T16:58:06,0.0000,1.0000,100,94
2026-01-12T16:58:07,0.0000,1.0000,99,94
2026-01-12T16:58:08,0.0000,1.0000,97,94
2026-01-12T16:58:09,0.0076,1.0000,98,94
2026-01-12T16:58:10,0.0010,1.0000,96,95
2026-01-12T16:58:11,0.0000,1.0000,95,96
2026-01-12T16:58:12,0.0000,1.0000,98,96
2026-01-12T16:58:13,0.0000,1.0000,100,96
2026-01-12T16:58:14,0.0000,1.0000,103,96
2026-01-12T16:58:15,0.0000,1.0000,104,96
2026-01-12T16:58:16,0.0000,1.0000,106,96
2026-01-12T16:58:17,0.0120,1.0000,106,95
2026-01-12T16:58:18,0.0000,1.0000,107,95
2026-01-12T16:58:19,0.0071,1.0000,107,94
2026-01-12T16:58:20,0.0000,1.0000,109,94
2026-01-12T16:58:21,0.0000,1.0000,108,95
2026-01-12T16:58:22,0.0000,1.0000,110,94
2026-01-12T16:58:23,0.0139,1.0000,110,95
2026-01-12T16:58:24,0.0000,1.0000,110,95
2026-01-12T16:58:25,0.0192,1.0000,108,94
2026-01-12T16:58:26,0.0092,1.0000,108,94
2026-01-12T16:58:27,0.0105,1.0000,107,95
2026-01-12T16:58:28,0.0000,1.0000,109,94
2026-01-12T16:58:29,0.0000,1.0000,109,94
2026-01-12T16:58:30,0.0000,1.0000,107,94
2026-01-12T16:58:31,0.0000,1.0000,107,95
2026-01-12T16:58:32,0.0000,1.0000,107,95
2026-01-12T16:58:33,0.0000,1.0000,109,95
2026-01-12T16:58:34,0.0118,1.0000,110,94
2026-01-12T16:58:35,0.0000,1.0000,110,94
2026-01-12T16:58:36,0.0000,1.0000,110,94
2026-01-12T16:58:37,0.0000,1.0000,110,95
2026-01-12T16:58:38,0.0107,1.0000,108,96
2026-01-12T16:58:39,0.0000,1.0000,106,97
2026-01-12T16:58:40,0.0000,1.0000,107,98
2026-01-12T16:58:41,0.0150,1.0000,110,99
2026-01-12T16:58:42,0.0243,1.0000,110,100
2026-01-12T16:58:43,0.0344,1.0000,108,100
2026-01-12T16:58:44,0.0284,1.0000,107,99
2026-01-12T16:58:45,0.0069,1.0000,109,100
2026-01-12T16:58:46,0.0000,1.0000,109,99
2026-01-12T16:58:47,0.0000,1.0000,110,100
2026-01-12T16:58:48,0.0057,1.0000,110,100
2026-01-12T16:58:49,0.0000,1.0000,108,100
2026-01-12T16:58:50,0.0000,1.0000,110,100
2026-01-12T16:58:51,0.0098,1.0000,110,99
2026-01-12T16:58:52,0.0212,1.0000,110,100
2026-01-12T16:58:53,0.0361,1.0000,110,99
2026-01-12T16:58:54,0.0328,1.0000,109,99
